imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,background.started,startkey.started,instructionstxt.started,background2.started,faces.started,resp.started,trial_counter.started,reminder.started,resp.keys,resp.corr,resp.rt,resp.duration,background4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (12).png,left,same,0,0,0,8,84.4722137,84.4722137,84.4722137,120.0621616,120.0621616,120.0621616,120.0621616,120.0621616,left,1,12.5487785,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\077_133_R.jpg,right,different,0,1,1,25,,,,132.7221666,132.7221666,132.7221666,132.7221666,132.7221666,right,1,12.0117946,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\303_DV_C2.jpg,left,same,0,2,2,19,,,,144.8214744,144.8214744,144.8214744,144.8214744,144.8214744,right,0,23.3824838,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\235_C2_DV.jpg,left,same,0,3,3,18,,,,168.286358,168.286358,168.286358,168.286358,168.286358,left,1,8.1906873,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\025_235_L.jpg,right,different,0,4,4,22,,,,176.5552021,176.5552021,176.5552021,176.5552021,176.5552021,right,1,10.0530565,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\170_DV_C2.jpg,left,same,0,5,5,17,,,,186.6589686,186.6589686,186.6589686,186.6589686,186.6589686,left,1,4.7961227,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (13).png,left,same,0,6,6,9,,,,191.5921736,191.5921736,191.5921736,191.5921736,191.5921736,left,1,2.4575043,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (5).png,left,same,0,7,7,5,,,,194.1578697,194.1578697,194.1578697,194.1578697,194.1578697,right,0,13.7183954,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\129_C2_DV.jpg,left,same,0,8,8,13,,,,207.9867456,207.9867456,207.9867456,207.9867456,207.9867456,left,1,2.1153903,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (1).png,left,same,0,9,9,2,,,,210.2268678,210.2268678,210.2268678,210.2268678,210.2268678,right,0,2.9977295,None,,,1,1,2023-11-27_21h43.14.181,glasgow face matching task new,2023.1.3,60.0631985
