imageFile,corrAns,sameOrDiff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,background.started,startkey.started,instructionstxt.started,background2.started,faces.started,resp.started,trial_counter.started,reminder.started,resp.keys,resp.corr,resp.rt,resp.duration,background4.started,endmsg.started,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\129_C2_DV.jpg,left,same,0,0,0,13,19.373399900039658,19.373399900039658,19.373399900039658,45.07495820010081,45.07495820010081,45.07495820010081,45.07495820010081,45.07495820010081,left,1,13.132871699985117,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\106_224_L.jpg,right,different,0,1,1,29,,,,58.27040700009093,58.27040700009093,58.27040700009093,58.27040700009093,58.27040700009093,right,1,3.235927799833007,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\120_DV_C2.jpg,left,same,0,2,2,12,,,,61.568288600072265,61.568288600072265,61.568288600072265,61.568288600072265,61.568288600072265,left,1,5.74611639988143,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (13).png,left,same,0,3,3,9,,,,67.39949990005698,67.39949990005698,67.39949990005698,67.39949990005698,67.39949990005698,left,1,2.0427387999370694,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\303_DV_C2.jpg,left,same,0,4,4,19,,,,69.52086300007068,69.52086300007068,69.52086300007068,69.52086300007068,69.52086300007068,left,1,2.0384398999158293,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (4).png,left,same,0,5,5,4,,,,71.66066680010408,71.66066680010408,71.66066680010408,71.66066680010408,71.66066680010408,left,1,1.2091503998963162,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\Untitled.jpeg,right,different,0,6,6,38,,,,72.95071930007543,72.95071930007543,72.95071930007543,72.95071930007543,72.95071930007543,right,1,1.5685822998639196,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\different\Untitled (8).png,right,different,0,7,7,33,,,,74.61491090001073,74.61491090001073,74.61491090001073,74.61491090001073,74.61491090001073,right,1,2.0563460998237133,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\136_C2_DV.jpg,left,same,0,8,8,14,,,,76.73244910000358,76.73244910000358,76.73244910000358,76.73244910000358,76.73244910000358,left,1,1.816052399808541,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
C:\Users\ASUS\OneDrive\Desktop\glasgow_face_matching-master\same\Untitled (1).png,left,same,0,9,9,2,,,,78.63094600010663,78.63094600010663,78.63094600010663,78.63094600010663,78.63094600010663,left,1,3.798095299862325,None,,,2,001,2023-11-27_22h00.27.029,glasgow face matching task new,2023.1.3,60.09759851553912,
